As-Of-Date,Symbol,Name,% of Assets,Market Value
2020-12-31,AAPL,APPLE INC COMMON STOCK USD.00001,5.4219515600,751925701.6500000000
2020-12-31,MSFT,MICROSOFT CORP COMMON STOCK USD.00000625,4.2993864200,596246409.6600000000
2020-12-31,AMZN,AMAZON.COM INC COMMON STOCK USD.01,3.5514604100,492522725.3900000000
2020-12-31,FB,FACEBOOK INC CLASS A COMMON STOCK USD.000006,1.6788019600,232819184.8800000000
2020-12-31,TSLA,TESLA INC COMMON STOCK USD.001,1.3684116600,189773716.0900000000
2020-12-31,GOOGL,ALPHABET INC CL A COMMON STOCK USD.001,1.3469174800,186792865.9200000000
2020-12-31,GOOG,ALPHABET INC CL C COMMON STOCK USD.001,1.2999220600,180275459.5200000000
2020-12-31,BRK.B,BERKSHIRE HATHAWAY INC CL B COMMON STOCK USD.0033,1.1534217000,159958533.8100000000
2020-12-31,JNJ,JOHNSON + JOHNSON COMMON STOCK USD1.0,1.0589675100,146859461.7600000000
2020-12-31,JPM,JPMORGAN CHASE + CO COMMON STOCK USD1.0,0.9899973600,137294560.4800000000
2020-12-31,V,VISA INC CLASS A SHARES COMMON STOCK USD.0001,0.9479605500,131464823.0100000000
2020-12-31,PG,PROCTER + GAMBLE CO/THE COMMON STOCK,0.8817841400,122287363.2000000000
2020-12-31,UNH,UNITEDHEALTH GROUP INC COMMON STOCK USD.01,0.8503857700,117932982.6400000000
2020-12-31,DIS,WALT DISNEY CO/THE COMMON STOCK USD.01,0.8385675200,116294006.6000000000
2020-12-31,,TIME DEPOSITS,0.8323756900,115435313.3600000000
2020-12-31,NVDA,NVIDIA CORP COMMON STOCK USD.001,0.8263933200,114605667.4000000000
2020-12-31,MA,MASTERCARD INC   A COMMON STOCK USD.0001,0.8025129200,111293892.0000000000
2020-12-31,HD,HOME DEPOT INC COMMON STOCK USD.05,0.7308116400,101350232.8200000000
2020-12-31,PYPL,PAYPAL HOLDINGS INC COMMON STOCK USD.0001,0.7016285700,97303074.0000000000
2020-12-31,VZ,VERIZON COMMUNICATIONS INC COMMON STOCK USD.1,0.6212365800,86154172.5000000000
2020-12-31,ADBE,ADOBE INC COMMON STOCK USD.0001,0.6132054700,85040404.8000000000
2020-12-31,CMCSA,COMCAST CORP CLASS A COMMON STOCK USD.01,0.6113614100,84784667.2000000000
2020-12-31,NFLX,NETFLIX INC COMMON STOCK USD.001,0.6110819400,84745909.2500000000
2020-12-31,BAC,BANK OF AMERICA CORP COMMON STOCK USD.01,0.5895961800,81766226.1500000000
2020-12-31,KO,COCA COLA CO/THE COMMON STOCK USD.25,0.5419427200,75157561.9200000000
2020-12-31,MRK,MERCK + CO. INC. COMMON STOCK USD.5,0.5287842200,73332718.4000000000
2020-12-31,PEP,PEPSICO INC COMMON STOCK USD.017,0.5236384900,72619099.1000000000
2020-12-31,T,AT+T INC COMMON STOCK USD1.0,0.5236357000,72618712.4000000000
2020-12-31,PFE,PFIZER INC COMMON STOCK USD.05,0.5231567400,72552289.1400000000
